"","Rank","Film","Studio","Genre","Year","Gross","Gross.Dom","Pct.Dom","Gross.Ovr","Pct.Ovr","Rotten","IMDB","Rating","Days","Budget"
"55",94,"Mission: Impossible II","Par.","Action/Adventure",2000,546400000,215400000,0.394,331000000,0.606,57,5.9,"PG13",149,125
"56",95,"Sherlock Holmes: A Game of Shadows","WB","Action/Adventure",2011,545400000,186800000,0.343,358600000,0.657,60,7.4,"PG13",112,125
"57",96,"The Day After Tomorrow","Fox","Action/Adventure",2004,544300000,186700000,0.343,357500000,0.657,45,6.3,"PG13",161,125
"58",97,"Despicable Me","Uni.","Animation",2010,543100000,251500000,0.463,291600000,0.537,81,7.6,"PG",196,69
"59",99,"The Empire Strikes Back","Fox","Action/Adventure",1980,538400000,290500000,0.54,247900000,0.46,97,8.8,"PG",121,18
"60",101,"The Simpsons Movie","Fox","Animation",2007,527100000,183100000,0.347,343900000,0.653,90,7.4,"PG13",147,75
"61",102,"Sherlock Holmes","WB","Action/Adventure",2009,5.24e+08,209000000,0.399,315000000,0.601,70,7.6,"PG13",126,90
"62",105,"Meet the Fockers","Uni.","Comedy",2004,516600000,279300000,0.541,237400000,0.459,38,6.3,"PG13",149,80
"63",106,"Ghost","Par.","Drama",1990,505700000,217600000,0.43,288100000,0.57,74,6.9,"PG13",119,22
"64",108,"Troy","WB","Action/Adventure",2004,497400000,133400000,0.268,364000000,0.732,54,7.1,"R",112,175
"65",110,"Twister","WB","Action/Adventure",1996,494500000,241700000,0.489,252800000,0.511,58,6.1,"PG13",119,92
"66",111,"Clash of the Titans (2010)","WB","Action/Adventure",2010,493200000,163200000,0.331,330000000,0.669,28,5.8,"PG13",112,125
"67",113,"Angels & Demons","Sony","Action/Adventure",2009,485900000,133400000,0.274,352600000,0.726,37,6.6,"PG13",84,150
"68",115,"Rio","Fox","Animation",2011,484600000,143600000,0.296,341000000,0.704,72,6.9,"PG",147,90
"69",116,"Bruce Almighty","Uni.","Comedy",2003,484600000,242800000,0.501,241800000,0.499,48,6.6,"PG13",189,81
"70",119,"Rise of the Planet of the Apes","Fox","Action/Adventure",2011,481800000,176800000,0.367,305000000,0.633,82,7.6,"PG13",133,93
"71",120,"Mr. & Mrs. Smith","Fox","Action/Adventure",2005,478200000,186300000,0.39,291900000,0.61,59,6.4,"PG13",189,110
"72",121,"Home Alone","Fox","Comedy",1990,476700000,285800000,0.599,190900000,0.401,54,7.3,"PG",142,18
"73",122,"Return of the Jedi","Fox","Action/Adventure",1983,475100000,309300000,0.651,165800000,0.349,79,8.4,"PG",131,32.5
"74",123,"Charlie and the Chocolate Factory","WB","Action/Adventure",2005,4.75e+08,206500000,0.435,268500000,0.565,82,6.8,"PG",147,150
